CI00,CI01,CI11,Q_EXP_PN_100,Q_VAL_PN_100,,Q_EXP_PN_CO00,Q_EXP_PN_CO10,Q_VAL_PN_CO00,Q_VAL_PN_CO10,Q_EXP_PN_CC00,Q_VAL_PN_CC00
,0.6,0.518518519,,0.363772,,,,,,,
,0.5,0.538461538,,0.384084,,,,,,,
,0.666666667,0.555555556,,0.4042325,,,,,,,
,1,0.625,,0.424219,,,,,,,
,,0.666666667,,0.444043,,,,,,,
,,1,,0.463433,,,,,,,
,,,,0.482502,,,,,,,
,,,,0.5016015,,,,,,,
,,,,0.520649,,,,,,,
,,,,0.539537,,,,,,,
,,,,0.5581635,,,,,,,
,,,,0.5764355,,,,,,,
,,,,0.594216,,,,,,,
,,,,0.611184,,,,,,,
,,,,0.8097035,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
